"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:056","056","Grey District",2023,14043,"total people with a stated religious-affiliation response",6051,43.09,7992,56.91,10,7.12,0,3474.41,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:057","057","Westland District",2013,7605,"total people with a stated religious-affiliation response",4179,54.95,3426,45.05,13,17.09,0,11829.24,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:057","057","Westland District",2018,8640,"total people with a stated religious-affiliation response",4203,48.65,4437,51.35,13,15.05,0,11829.24,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:057","057","Westland District",2023,8901,"total people with a stated religious-affiliation response",3819,42.91,5082,57.09,13,14.61,0,11829.24,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:058","058","Hurunui District",2013,10740,"total people with a stated religious-affiliation response",6021,56.06,4719,43.94,26,24.21,0,8641.04,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:058","058","Hurunui District",2018,12558,"total people with a stated religious-affiliation response",5967,47.52,6591,52.48,26,20.7,0,8641.04,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:058","058","Hurunui District",2023,13608,"total people with a stated religious-affiliation response",5643,41.47,7965,58.53,26,19.11,0,8641.04,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:059","059","Waimakariri District",2013,47328,"total people with a stated religious-affiliation response",25434,53.74,21894,46.26,35,7.4,0.02,2217.13,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:059","059","Waimakariri District",2018,59502,"total people with a stated religious-affiliation response",27441,46.12,32061,53.88,35,5.88,0.02,2217.13,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:059","059","Waimakariri District",2023,66246,"total people with a stated religious-affiliation response",27861,42.06,38385,57.94,35,5.28,0.02,2217.13,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:060","060","Christchurch City",2013,316890,"total people with a stated religious-affiliation response",172728,54.51,144162,45.49,257,8.11,0.18,1415.15,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:060","060","Christchurch City",2018,369006,"total people with a stated religious-affiliation response",181506,49.19,187500,50.81,257,6.96,0.18,1415.15,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:060","060","Christchurch City",2023,391383,"total people with a stated religious-affiliation response",176607,45.12,214776,54.88,257,6.57,0.18,1415.15,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:062","062","Selwyn District",2013,42342,"total people with a stated religious-affiliation response",22665,53.53,19677,46.47,43,10.16,0.01,6381.16,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:062","062","Selwyn District",2018,60561,"total people with a stated religious-affiliation response",27135,44.81,33426,55.19,43,7.1,0.01,6381.16,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
"NZ","nz-ta-2025","territorial_authority","nz-ta-2025:062","062","Selwyn District",2023,78144,"total people with a stated religious-affiliation response",33033,42.27,45111,57.73,43,5.5,0.01,6381.16,,"current committed nz_places.json snapshot","statsnz-cen23-tbt-008-religion-ta-2013-2023;statsnz-ta-boundaries-2025;osm-nz-places-current-cleaned","current_place_counts_repeated_across_census_years"
