"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:40035","40035","Adăşeni",2011,1347,"population with a stated religion response: POPULATIA STABILA TOTAL minus Informatie nedisponibila",1347,100,0,0,,,,30.1,,,"ins-rpl-2011-sr-tab-13-uat-religion|gisco-lau-2011-ro|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;gisco_lau_2011_to_2021_id_bridge;source_suppressed_named_religion_detail"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:40035","40035","Adăşeni",2021,1249,"population with a stated religion response: POPULATIA REZIDENTA TOTAL minus Informatie nedisponibila",1249,100,0,0,,,,30.1,,,"ins-rpl-2021-table-2-04-uat-religion|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;agnostic_in_denominator_not_no_religion;source_suppressed_named_religion_detail"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:131899","131899","Adunaţi",2011,2079,"population with a stated religion response: POPULATIA STABILA TOTAL minus Informatie nedisponibila",2079,100,0,0,,,,22.27,,,"ins-rpl-2011-sr-tab-13-uat-religion|gisco-lau-2011-ro|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;gisco_lau_2011_to_2021_id_bridge;source_suppressed_named_religion_detail"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:131899","131899","Adunaţi",2021,1803,"population with a stated religion response: POPULATIA REZIDENTA TOTAL minus Informatie nedisponibila",,,,,,,,22.27,,,"ins-rpl-2021-table-2-04-uat-religion|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;agnostic_in_denominator_not_no_religion;source_suppressed_no_religion_component;source_suppressed_agnostic_component;source_suppressed_named_religion_detail;headline_metric_unavailable_due_source_suppression"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:100781","100781","Adunaţii-Copăceni",2011,6191,"population with a stated religion response: POPULATIA STABILA TOTAL minus Informatie nedisponibila",,,,,,,,77.88,,,"ins-rpl-2011-sr-tab-13-uat-religion|gisco-lau-2011-ro|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;gisco_lau_2011_to_2021_id_bridge;source_suppressed_no_religion_component;source_suppressed_named_religion_detail;headline_metric_unavailable_due_source_suppression"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:100781","100781","Adunaţii-Copăceni",2021,6327,"population with a stated religion response: POPULATIA REZIDENTA TOTAL minus Informatie nedisponibila",6302,99.6,15,0.24,,,,77.88,,,"ins-rpl-2021-table-2-04-uat-religion|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;agnostic_in_denominator_not_no_religion;source_suppressed_named_religion_detail"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:70520","70520","Afumaţi",2011,2523,"population with a stated religion response: POPULATIA STABILA TOTAL minus Informatie nedisponibila",2523,100,0,0,,,,69.46,,,"ins-rpl-2011-sr-tab-13-uat-religion|gisco-lau-2011-ro|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;gisco_lau_2011_to_2021_id_bridge;source_suppressed_named_religion_detail"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:100834","100834","Afumaţi",2011,7189,"population with a stated religion response: POPULATIA STABILA TOTAL minus Informatie nedisponibila",7189,100,0,0,,,,60.2,,,"ins-rpl-2011-sr-tab-13-uat-religion|gisco-lau-2011-ro|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;gisco_lau_2011_to_2021_id_bridge;source_suppressed_named_religion_detail"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:70520","70520","Afumaţi",2021,2516,"population with a stated religion response: POPULATIA REZIDENTA TOTAL minus Informatie nedisponibila",2513,99.88,3,0.12,,,,69.46,,,"ins-rpl-2021-table-2-04-uat-religion|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;agnostic_in_denominator_not_no_religion;source_suppressed_named_religion_detail"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:100834","100834","Afumaţi",2021,7890,"population with a stated religion response: POPULATIA REZIDENTA TOTAL minus Informatie nedisponibila",7855,99.56,26,0.33,,,,60.2,,,"ins-rpl-2021-table-2-04-uat-religion|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;agnostic_in_denominator_not_no_religion;source_suppressed_named_religion_detail"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:121108","121108","Agapia",2011,3814,"population with a stated religion response: POPULATIA STABILA TOTAL minus Informatie nedisponibila",3811,99.92,3,0.08,,,,60.3,,,"ins-rpl-2011-sr-tab-13-uat-religion|gisco-lau-2011-ro|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;gisco_lau_2011_to_2021_id_bridge;source_suppressed_named_religion_detail"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:121108","121108","Agapia",2021,3211,"population with a stated religion response: POPULATIA REZIDENTA TOTAL minus Informatie nedisponibila",,,,,,,,60.3,,,"ins-rpl-2021-table-2-04-uat-religion|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;agnostic_in_denominator_not_no_religion;source_suppressed_no_religion_component;source_suppressed_agnostic_component;source_suppressed_named_religion_detail;headline_metric_unavailable_due_source_suppression"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:21007","21007","Agăş",2011,5629,"population with a stated religion response: POPULATIA STABILA TOTAL minus Informatie nedisponibila",,,,,,,,210.14,,,"ins-rpl-2011-sr-tab-13-uat-religion|gisco-lau-2011-ro|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;gisco_lau_2011_to_2021_id_bridge;source_suppressed_no_religion_component;source_suppressed_named_religion_detail;headline_metric_unavailable_due_source_suppression"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:21007","21007","Agăş",2021,4822,"population with a stated religion response: POPULATIA REZIDENTA TOTAL minus Informatie nedisponibila",,,7,0.15,,,,210.14,,,"ins-rpl-2021-table-2-04-uat-religion|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;agnostic_in_denominator_not_no_religion;source_suppressed_agnostic_component;source_suppressed_named_religion_detail;headline_metric_unavailable_due_source_suppression"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:55473","55473","Aghireşu",2011,6874,"population with a stated religion response: POPULATIA STABILA TOTAL minus Informatie nedisponibila",,,,,,,,105.97,,,"ins-rpl-2011-sr-tab-13-uat-religion|gisco-lau-2011-ro|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;gisco_lau_2011_to_2021_id_bridge;source_suppressed_no_religion_component;source_suppressed_named_religion_detail;headline_metric_unavailable_due_source_suppression"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:55473","55473","Aghireşu",2021,5102,"population with a stated religion response: POPULATIA REZIDENTA TOTAL minus Informatie nedisponibila",,,11,0.22,,,,105.97,,,"ins-rpl-2021-table-2-04-uat-religion|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;agnostic_in_denominator_not_no_religion;source_suppressed_agnostic_component;source_suppressed_named_religion_detail;headline_metric_unavailable_due_source_suppression"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:60570","60570","Agigea",2011,6304,"population with a stated religion response: POPULATIA STABILA TOTAL minus Informatie nedisponibila",,,,,,,,45.66,,,"ins-rpl-2011-sr-tab-13-uat-religion|gisco-lau-2011-ro|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;gisco_lau_2011_to_2021_id_bridge;source_suppressed_no_religion_component;source_suppressed_named_religion_detail;headline_metric_unavailable_due_source_suppression"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:60570","60570","Agigea",2021,7216,"population with a stated religion response: POPULATIA REZIDENTA TOTAL minus Informatie nedisponibila",7145,99.02,65,0.9,,,,45.66,,,"ins-rpl-2021-table-2-04-uat-religion|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;agnostic_in_denominator_not_no_religion;source_suppressed_named_religion_detail"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:139937","139937","Agrij",2011,1333,"population with a stated religion response: POPULATIA STABILA TOTAL minus Informatie nedisponibila",1333,100,0,0,,,,32.68,,,"ins-rpl-2011-sr-tab-13-uat-religion|gisco-lau-2011-ro|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;gisco_lau_2011_to_2021_id_bridge;source_suppressed_named_religion_detail"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:139937","139937","Agrij",2021,1296,"population with a stated religion response: POPULATIA REZIDENTA TOTAL minus Informatie nedisponibila",1296,100,0,0,,,,32.68,,,"ins-rpl-2021-table-2-04-uat-religion|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;agnostic_in_denominator_not_no_religion;source_suppressed_named_religion_detail"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:179873","179873","Agriş",2011,1947,"population with a stated religion response: POPULATIA STABILA TOTAL minus Informatie nedisponibila",1947,100,0,0,,,,30.23,,,"ins-rpl-2011-sr-tab-13-uat-religion|gisco-lau-2011-ro|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;gisco_lau_2011_to_2021_id_bridge"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:179873","179873","Agriş",2021,1576,"population with a stated religion response: POPULATIA REZIDENTA TOTAL minus Informatie nedisponibila",,,,,,,,30.23,,,"ins-rpl-2021-table-2-04-uat-religion|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;agnostic_in_denominator_not_no_religion;source_suppressed_no_religion_component;source_suppressed_named_religion_detail;headline_metric_unavailable_due_source_suppression"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:63777","63777","Aita Mare",2011,1698,"population with a stated religion response: POPULATIA STABILA TOTAL minus Informatie nedisponibila",1686,99.29,12,0.71,,,,66.87,,,"ins-rpl-2011-sr-tab-13-uat-religion|gisco-lau-2011-ro|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;gisco_lau_2011_to_2021_id_bridge;source_suppressed_named_religion_detail"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:63777","63777","Aita Mare",2021,1585,"population with a stated religion response: POPULATIA REZIDENTA TOTAL minus Informatie nedisponibila",,,,,,,,66.87,,,"ins-rpl-2021-table-2-04-uat-religion|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;agnostic_in_denominator_not_no_religion;source_suppressed_no_religion_component;source_suppressed_named_religion_detail;headline_metric_unavailable_due_source_suppression"
"RO","ro-lau-2021-gisco","lau_2021","ro-lau-2021-gisco:55598","55598","Aiton",2011,1036,"population with a stated religion response: POPULATIA STABILA TOTAL minus Informatie nedisponibila",,,,,,,,45.52,,,"ins-rpl-2011-sr-tab-13-uat-religion|gisco-lau-2011-ro|gisco-lau-2021-ro|gisco-nuts3-2021-ro","undeclared_excluded_from_denominator;stated_response_denominator;gisco_lau_2011_to_2021_id_bridge;source_suppressed_no_religion_component;source_suppressed_named_religion_detail;headline_metric_unavailable_due_source_suppression"
