"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:25","25","Paraíba - PB",2010,3765919,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",3552705,94.34,213214,5.66,,,,59145.53,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:25","25","Paraíba - PB",2022,3431148,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",3219984,93.85,211164,6.15,,,,59145.53,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:26","26","Pernambuco - PE",2000,7909758,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",7159456,90.51,750302,9.49,,,,101899.27,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:26","26","Pernambuco - PE",2010,8796008,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",7881054,89.6,914954,10.4,,,,101899.27,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:26","26","Pernambuco - PE",2022,7808983,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",6996389,89.59,812594,10.41,,,,101899.27,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:27","27","Alagoas - AL",2000,2818430,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",2541398,90.17,277032,9.83,,,,29017.38,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:27","27","Alagoas - AL",2010,3120477,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",2818268,90.32,302209,9.68,,,,29017.38,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:27","27","Alagoas - AL",2022,2659190,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",2411342,90.68,247848,9.32,,,,29017.38,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:28","28","Sergipe - SE",2000,1780155,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",1634076,91.79,146079,8.21,,,,22731.86,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:28","28","Sergipe - SE",2010,2067612,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",1889992,91.41,177620,8.59,,,,22731.86,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:28","28","Sergipe - SE",2022,1902375,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",1728858,90.88,173517,9.12,,,,22731.86,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:29","29","Bahia - BA",2000,13053844,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",11562847,88.58,1490997,11.42,,,,577751.4,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:29","29","Bahia - BA",2010,14010858,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",12322073,87.95,1688785,12.05,,,,577751.4,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:29","29","Bahia - BA",2022,12273869,"people aged 10 years or older in SIDRA table 9537, variable 140, category Total minus Sem declaração",10687732,87.08,1586137,12.92,,,,577751.4,,,"ibge-sidra-9537-religion-age10plus-2022|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs","age_universe_10_plus"
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:31","31","Minas Gerais - MG",2000,17880698,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",17057843,95.4,822855,4.6,,,,594193.57,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
"BR","br-uf-2022-ibge","uf","br-uf-2022-ibge:31","31","Minas Gerais - MG",2010,19594092,"resident population in SIDRA table 137, variable 93, category Total minus Sem declaração",18607466,94.96,986626,5.04,,,,594193.57,,,"ibge-sidra-137-religion-2000-2010|ibge-malhas-uf-2022|ibge-localidades-municipios-ufs",""
