"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","printed_population_total","religion_universe_deviation","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag","composition"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-015","MY-DOSM-bentong","Bentong",2000,96689,"Agama/ Religion",96689,0,95375,98.6410036301958,1314,1.35899636980422,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=52222;Christianity=1560;Buddhism=23669;Hinduism=9021;Others=8903;No Religion/Unknown=1314"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-015","MY-DOSM-bentong","Bentong",2010,114397,"Agama/ Religion",114397,0,111093,97.1118123727021,3304,2.88818762729792,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=63021;Christianity=1608;Buddhism=35475;Hinduism=9459;Others=1530;No Religion/Unknown=3304"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-015","MY-DOSM-bentong","Bentong",2020,116799,"Agama/ Religion",116799,0,113228,96.9426108100241,3571,3.05738918997594,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=69049;Christianity=1954;Buddhism=31709;Hinduism=9835;Others=681;No Religion/Unknown=3571"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-016","MY-DOSM-bera","Bera",1991,,"Agama/ Religion",,,,,,,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;source_cell_unavailable_as_printed",
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-016","MY-DOSM-bera","Bera",2000,77685,"Agama/ Religion",77685,0,77275,99.472227585763,410,0.527772414236983,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=49329;Christianity=530;Buddhism=13270;Hinduism=3678;Others=10468;No Religion/Unknown=410"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-016","MY-DOSM-bera","Bera",2010,94105,"Agama/ Religion",94105,0,88413,93.951437224377,5692,6.04856277562297,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=59423;Christianity=8676;Buddhism=13019;Hinduism=4396;Others=2899;No Religion/Unknown=5692"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-016","MY-DOSM-bera","Bera",2020,98137,"Agama/ Religion",98137,0,92281,94.0328316537086,5856,5.96716834629141,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=61072;Christianity=1134;Buddhism=25279;Hinduism=3973;Others=823;No Religion/Unknown=5856"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-017","MY-DOSM-besut","Besut",1991,107689,"Agama/ Religion",107900,-211,107678,99.9897854005516,11,0.0102145994484116,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame;religion_universe_differs_from_printed_population_total","Islam=105961;Christianity=49;Buddhism=1447;Hinduism=38;Others=183;No Religion/Unknown=11"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-017","MY-DOSM-besut","Besut",2000,120199,"Agama/ Religion",120199,0,120185,99.9883526485245,14,0.0116473514754698,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=118668;Christianity=33;Buddhism=1411;Hinduism=25;Others=48;No Religion/Unknown=14"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-017","MY-DOSM-besut","Besut",2010,136563,"Agama/ Religion",136563,0,136539,99.9824256936359,24,0.0175743063640957,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=134304;Christianity=145;Buddhism=1882;Hinduism=143;Others=65;No Religion/Unknown=24"
"MY","my-osm-adm2-2020-derived","administrative_district","MY-DIST-017","MY-DOSM-besut","Besut",2020,154168,"Agama/ Religion",154168,0,154152,99.9896217113798,16,0.0103782886202065,,,,,,,"my-dosm-census-religion-1991-2020","no_religion_line_fused_with_unknown_as_printed;dosm_printed_2020_reporting_frame","Islam=152217;Christianity=236;Buddhism=1544;Hinduism=139;Others=16;No Religion/Unknown=16"
