"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:RC","RC","Rochor",2010,12860,"Resident Population Aged 15 Years and Over",10664,82.9238,2196,17.0762,,,,1.614581,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:SB","SB","Sembawang",2010,57083,"Resident Population Aged 15 Years and Over",47381,83.0037,9702,16.9963,,,,12.635429,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:SE","SE","Sengkang",2010,131991,"Resident Population Aged 15 Years and Over",109233,82.7579,22758,17.2421,,,,10.593142,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:SG","SG","Serangoon",2010,104908,"Resident Population Aged 15 Years and Over",85168,81.1835,19740,18.8165,,,,10.102016,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:SR","SR","Singapore River",2010,1371,"Resident Population Aged 15 Years and Over",960,70.0219,411,29.9781,,,,0.957581,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:TM","TM","Tampines",2010,215378,"Resident Population Aged 15 Years and Over",184099,85.4772,31279,14.5228,,,,20.913646,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:TN","TN","Tanglin",2010,13378,"Resident Population Aged 15 Years and Over",10190,76.1698,3188,23.8302,,,,7.624717,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:TP","TP","Toa Payoh",2010,105907,"Resident Population Aged 15 Years and Over",85785,81.0003,20122,18.9997,,,,8.167172,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:WD","WD","Woodlands",2010,192944,"Resident Population Aged 15 Years and Over",166829,86.465,26115,13.535,,,,13.612386,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2008-ura-mp2008","planning_area","sg-pa-2008-ura-mp2008:YS","YS","Yishun",2010,152431,"Resident Population Aged 15 Years and Over",129336,84.8489,23095,15.1511,,,,21.578921,,,"singstat-ct-8628-planning-area-religion-2010|data-gov-sg-d-773f010a4eaae0ce6d81cbe78d251642","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:AM","AM","Ang Mo Kio",2020,143616,"Resident Population Aged 15 Years and Over",113475,79.0128,30141,20.9872,,,,13.942585,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:BD","BD","Bedok",2020,238734,"Resident Population Aged 15 Years and Over",191541,80.232,47193,19.768,,,,21.733967,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:BS","BS","Bishan",2020,76800,"Resident Population Aged 15 Years and Over",57553,74.9388,19247,25.0612,,,,7.608113,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:BK","BK","Bukit Batok",2020,139173,"Resident Population Aged 15 Years and Over",112830,81.0718,26343,18.9282,,,,11.140177,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:BM","BM","Bukit Merah",2020,128585,"Resident Population Aged 15 Years and Over",98651,76.7205,29934,23.2795,,,,14.461199,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:BP","BP","Bukit Panjang",2020,120112,"Resident Population Aged 15 Years and Over",97175,80.9037,22937,19.0963,,,,9.01994,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:BT","BT","Bukit Timah",2020,62963,"Resident Population Aged 15 Years and Over",45230,71.8358,17733,28.1642,,,,17.514947,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:CK","CK","Choa Chu Kang",2020,167886,"Resident Population Aged 15 Years and Over",138060,82.2344,29826,17.7656,,,,6.117294,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:CL","CL","Clementi",2020,79300,"Resident Population Aged 15 Years and Over",60883,76.7755,18417,23.2245,,,,9.521328,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:DT","DT","Downtown Core",2020,2720,"Resident Population Aged 15 Years and Over",1709,62.8309,1011,37.1691,,,,5.083637,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:GL","GL","Geylang",2020,96750,"Resident Population Aged 15 Years and Over",76060,78.615,20690,21.385,,,,9.644797,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:HG","HG","Hougang",2020,195874,"Resident Population Aged 15 Years and Over",155471,79.373,40403,20.627,,,,13.933045,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
"SG","sg-pa-2019-ura-mp2019","planning_area","sg-pa-2019-ura-mp2019:JE","JE","Jurong East",2020,69007,"Resident Population Aged 15 Years and Over",56432,81.7772,12575,18.2228,,,,17.860057,,,"singstat-ct-17592-planning-area-religion-2020|data-gov-sg-d-4765db0e87b9c86336792efe8a1f7a66","published_whole_person_counts;small_additivity_residuals;per_vintage_geography;no_cross_wave_change"
