priority,category,id,name,religion,denomination,address,amenity,building,country_code,lat,lng,tags_raw
1,generic_worship_label,w419356806,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-37.802127946153846,174.8688657923077,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w429556617,Christian Place of Worship,christian,,57 Fraser Road,place_of_worship,yes,NZ,-37.236180919999995,175.02127742,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w431102602,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-41.67254544285714,174.0696156857143,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w475420718,Christian Place of Worship,christian,,"6 Carthew Street, Feilding",place_of_worship,yes,NZ,-40.228314239999996,175.57215816000001,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w475423512,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-40.84853178,172.80741998,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w519772477,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-40.95815051428571,175.6422131,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w525849060,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-41.31969865294118,174.77251731176472,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w537266529,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-45.028858760000006,170.85865664,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w542684401,Christian Place of Worship,christian,,3 Ruapehu Street,place_of_worship,yes,NZ,-36.88955825714286,174.7557118857143,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w555862208,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-45.940982680000005,170.34175092,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w617320168,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-43.835868160000004,172.94606579999999,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w743755557,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-41.269082966666666,174.95234864444444,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w754822669,Christian Place of Worship,christian,,2 Devon Street,place_of_worship,yes,NZ,-46.09880702307692,168.94027331538462,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w765545432,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-39.08802834444444,177.91774394444442,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w767997302,Christian Place of Worship,christian,,,place_of_worship,yes,NZ,-37.72487494,176.19336914000002,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""religion"": ""christian""}"
1,generic_worship_label,w769220754,Christian Place of Worship,christian,,,,,NZ,-44.94040056,168.82866928,"{""religion"": ""christian""}"
1,generic_worship_label,w828102289,Christian Place of Worship,christian,,,,,NZ,-36.86985458181818,174.76534988181817,"{""religion"": ""christian""}"
1,generic_worship_label,w844439952,Christian Place of Worship,christian,,,,,NZ,-36.886780779999995,174.77492544,"{""religion"": ""christian""}"
1,generic_worship_label,w851969150,Christian Place of Worship,christian,,,,,NZ,-36.76434701666667,174.71583240833334,"{""religion"": ""christian""}"
1,generic_worship_label,w871132972,Christian Place of Worship,christian,,,,,NZ,-36.89780274,174.83947474,"{""religion"": ""christian""}"
1,generic_worship_label,w871132973,Christian Place of Worship,christian,,,,,NZ,-36.8998866,174.8504549333333,"{""religion"": ""christian""}"
1,generic_worship_label,w871132977,Christian Place of Worship,christian,,,,,NZ,-36.89526364,174.8563253,"{""religion"": ""christian""}"
1,generic_worship_label,w871132978,Christian Place of Worship,christian,,,,,NZ,-36.89908688333333,174.85499021666666,"{""religion"": ""christian""}"
1,generic_worship_label,w888516303,Christian Place of Worship,christian,,,,,NZ,-36.9070119,174.74047642,"{""religion"": ""christian""}"
1,generic_worship_label,w904086988,Christian Place of Worship,christian,,,,,NZ,-36.949287975,174.90246027499998,"{""religion"": ""christian""}"
1,generic_worship_label,w908526046,Christian Place of Worship,christian,,,,,NZ,-36.84043305454546,174.5997487,"{""religion"": ""christian""}"
1,generic_worship_label,w984776648,Christian Place of Worship,christian,,,,,NZ,-37.17883715714286,174.98283847142855,"{""religion"": ""christian""}"
1,generic_worship_label,w993784485,Christian Place of Worship,christian,,,,,NZ,-40.36819108888889,175.594602,"{""religion"": ""christian""}"
1,generic_worship_label,w993785191,Christian Place of Worship,christian,,,,,NZ,-40.36983925384615,175.59526963076922,"{""religion"": ""christian""}"
1,generic_worship_label,w726550121,Jewish Place of Worship,jewish,,,,,NZ,-36.88267048,174.77608402,"{""religion"": ""jewish""}"
1,generic_worship_label,w44706398,Lutheran Place of Worship,christian,lutheran,,,,NZ,-40.22476305,175.556828,"{""denomination"": ""lutheran"", ""religion"": ""christian""}"
1,generic_worship_label,w1007281031,Methodist Place of Worship,christian,methodist,,,,NZ,-40.36681490625,175.59654221875,"{""denomination"": ""methodist"", ""religion"": ""christian""}"
1,generic_worship_label,w851928847,Methodist Place of Worship,christian,methodist,,,,NZ,-37.02312682352941,174.89900510588237,"{""denomination"": ""methodist"", ""religion"": ""christian""}"
1,generic_worship_label,w1226340481,Mormon Place of Worship,christian,mormon,,,,NZ,-40.452249699999996,175.8438764625,"{""denomination"": ""mormon"", ""religion"": ""christian""}"
1,generic_worship_label,w374226171,Mormon Place of Worship,christian,mormon,,place_of_worship,yes,NZ,-40.942498763636365,175.67024525454545,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""denomination"": ""mormon"", ""religion"": ""christian""}"
1,generic_worship_label,w614167470,Mormon Place of Worship,christian,mormon,,place_of_worship,,NZ,-37.7105239625,176.147044375,"{""amenity"": ""place_of_worship"", ""denomination"": ""mormon"", ""religion"": ""christian""}"
1,generic_worship_label,w756152387,Mormon Place of Worship,christian,mormon,,place_of_worship,yes,NZ,-46.38046988181818,168.34799453636364,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""denomination"": ""mormon"", ""religion"": ""christian""}"
1,generic_worship_label,w101967206,Roman_Catholic Place of Worship,christian,roman_catholic,,,,NZ,-43.60123488461538,172.72193456923077,"{""denomination"": ""roman_catholic"", ""religion"": ""christian""}"
1,generic_worship_label,w1026218894,Roman_Catholic Place of Worship,christian,roman_catholic,,,,NZ,-40.22017685714286,175.57156778571428,"{""denomination"": ""roman_catholic"", ""religion"": ""christian""}"
1,generic_worship_label,w1115095114,Roman_Catholic Place of Worship,christian,roman_catholic,,,,NZ,-37.56339376428571,175.15897492142858,"{""denomination"": ""roman_catholic"", ""religion"": ""christian""}"
1,generic_worship_label,w1226340480,Roman_Catholic Place of Worship,christian,roman_catholic,,,,NZ,-40.45295115789474,175.84498939473684,"{""denomination"": ""roman_catholic"", ""religion"": ""christian""}"
1,generic_worship_label,w1348643063,Roman_Catholic Place of Worship,christian,roman_catholic,,,,NZ,-40.54159026,176.1903825,"{""denomination"": ""roman_catholic"", ""religion"": ""christian""}"
1,generic_worship_label,w1348643064,Roman_Catholic Place of Worship,christian,roman_catholic,,,,NZ,-40.64577833333333,175.70739125,"{""denomination"": ""roman_catholic"", ""religion"": ""christian""}"
1,generic_worship_label,w547010340,Roman_Catholic Place of Worship,christian,roman_catholic,,,,NZ,-41.75539954285715,171.60233155714286,"{""denomination"": ""roman_catholic"", ""religion"": ""christian""}"
1,generic_worship_label,w547011541,Roman_Catholic Place of Worship,christian,roman_catholic,,,,NZ,-42.118436880000004,171.86715082,"{""denomination"": ""roman_catholic"", ""religion"": ""christian""}"
1,generic_worship_label,w730428611,Roman_Catholic Place of Worship,christian,roman_catholic,,,,NZ,-40.35153896052632,175.61677764210526,"{""denomination"": ""roman_catholic"", ""religion"": ""christian""}"
