geography,geo_level,province,census_year,religion_label_source,religion_label_normalised,count
Toga,island,Torba,2009,SDA,seventh_day_adventist,0
Toga,island,Torba,2009,Church of Christ,church_of_christ,0
Toga,island,Torba,2009,AOG,assemblies_of_god,0
Toga,island,Torba,2009,NTM,neil_thomas_ministry,0
Toga,island,Torba,2009,Apostolic,apostolic,0
Toga,island,Torba,2009,Others,other,0
Toga,island,Torba,2009,Customary beliefs,customary_beliefs,0
Toga,island,Torba,2009,No religion,no_religion,0
Toga,island,Torba,2009,Refuse to answer,refuse_to_answer,0
Ureparapara,island,Torba,2009,Total,total,437
Ureparapara,island,Torba,2009,Anglican,anglican,399
Ureparapara,island,Torba,2009,Presbyterian,presbyterian,0
Ureparapara,island,Torba,2009,Catholic,catholic,0
Ureparapara,island,Torba,2009,SDA,seventh_day_adventist,14
Ureparapara,island,Torba,2009,Church of Christ,church_of_christ,0
Ureparapara,island,Torba,2009,AOG,assemblies_of_god,0
Ureparapara,island,Torba,2009,NTM,neil_thomas_ministry,19
Ureparapara,island,Torba,2009,Apostolic,apostolic,0
Ureparapara,island,Torba,2009,Others,other,5
Ureparapara,island,Torba,2009,Customary beliefs,customary_beliefs,0
Ureparapara,island,Torba,2009,No religion,no_religion,0
Ureparapara,island,Torba,2009,Refuse to answer,refuse_to_answer,0
Vanualava,island,Torba,2009,Total,total,2597
Vanualava,island,Torba,2009,Anglican,anglican,2226
Vanualava,island,Torba,2009,Presbyterian,presbyterian,29
Vanualava,island,Torba,2009,Catholic,catholic,14
Vanualava,island,Torba,2009,SDA,seventh_day_adventist,132
Vanualava,island,Torba,2009,Church of Christ,church_of_christ,3
Vanualava,island,Torba,2009,AOG,assemblies_of_god,104
Vanualava,island,Torba,2009,NTM,neil_thomas_ministry,50
Vanualava,island,Torba,2009,Apostolic,apostolic,1
Vanualava,island,Torba,2009,Others,other,29
Vanualava,island,Torba,2009,Customary beliefs,customary_beliefs,9
Vanualava,island,Torba,2009,No religion,no_religion,0
Vanualava,island,Torba,2009,Refuse to answer,refuse_to_answer,0
SANMA,province,Sanma,2009,Total,total,45855
SANMA,province,Sanma,2009,Anglican,anglican,5848
SANMA,province,Sanma,2009,Presbyterian,presbyterian,12561
SANMA,province,Sanma,2009,Catholic,catholic,5715
SANMA,province,Sanma,2009,SDA,seventh_day_adventist,6045
SANMA,province,Sanma,2009,Church of Christ,church_of_christ,2259
SANMA,province,Sanma,2009,AOG,assemblies_of_god,1802
SANMA,province,Sanma,2009,NTM,neil_thomas_ministry,1296
SANMA,province,Sanma,2009,Apostolic,apostolic,1694
SANMA,province,Sanma,2009,Others,other,7227
SANMA,province,Sanma,2009,Customary beliefs,customary_beliefs,812
SANMA,province,Sanma,2009,No religion,no_religion,485
SANMA,province,Sanma,2009,Refuse to answer,refuse_to_answer,111
Aore,island,Sanma,2009,Total,total,556
Aore,island,Sanma,2009,Anglican,anglican,20
Aore,island,Sanma,2009,Presbyterian,presbyterian,255
Aore,island,Sanma,2009,Catholic,catholic,9
Aore,island,Sanma,2009,SDA,seventh_day_adventist,223
Aore,island,Sanma,2009,Church of Christ,church_of_christ,5
Aore,island,Sanma,2009,AOG,assemblies_of_god,0
Aore,island,Sanma,2009,NTM,neil_thomas_ministry,6
Aore,island,Sanma,2009,Apostolic,apostolic,6
Aore,island,Sanma,2009,Others,other,23
Aore,island,Sanma,2009,Customary beliefs,customary_beliefs,9
Aore,island,Sanma,2009,No religion,no_religion,0
Aore,island,Sanma,2009,Refuse to answer,refuse_to_answer,0
Araki,island,Sanma,2009,Total,total,140
Araki,island,Sanma,2009,Anglican,anglican,0
Araki,island,Sanma,2009,Presbyterian,presbyterian,140
Araki,island,Sanma,2009,Catholic,catholic,0
Araki,island,Sanma,2009,SDA,seventh_day_adventist,0
Araki,island,Sanma,2009,Church of Christ,church_of_christ,0
Araki,island,Sanma,2009,AOG,assemblies_of_god,0
Araki,island,Sanma,2009,NTM,neil_thomas_ministry,0
Araki,island,Sanma,2009,Apostolic,apostolic,0
Araki,island,Sanma,2009,Others,other,0
Araki,island,Sanma,2009,Customary beliefs,customary_beliefs,0
Araki,island,Sanma,2009,No religion,no_religion,0
Araki,island,Sanma,2009,Refuse to answer,refuse_to_answer,0
Bokissa,island,Sanma,2009,Total,total,56
Bokissa,island,Sanma,2009,Anglican,anglican,4
Bokissa,island,Sanma,2009,Presbyterian,presbyterian,7
Bokissa,island,Sanma,2009,Catholic,catholic,0
Bokissa,island,Sanma,2009,SDA,seventh_day_adventist,0
Bokissa,island,Sanma,2009,Church of Christ,church_of_christ,17
Bokissa,island,Sanma,2009,AOG,assemblies_of_god,0
Bokissa,island,Sanma,2009,NTM,neil_thomas_ministry,0
Bokissa,island,Sanma,2009,Apostolic,apostolic,0
Bokissa,island,Sanma,2009,Others,other,11
