geography,geo_level,province,census_year,religion_label_source,religion_label_normalised,count
Motalava,area_council,Torba,2020,Assemblies of God (AOG),assemblies_of_god,148
Motalava,area_council,Torba,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,1
Motalava,area_council,Torba,2020,Customary beliefs,customary_beliefs,1
Motalava,area_council,Torba,2020,Apostolic,apostolic,0
Motalava,area_council,Torba,2020,Latter Day Saints (Mormon),latter_day_saints,2
Motalava,area_council,Torba,2020,Other churches,other,413
Motalava,area_council,Torba,2020,No Religion/Faith,no_religion,1
Motalava,area_council,Torba,2020,Refuse to answer,refuse_to_answer,3
Motalava,area_council,Torba,2020,Not Stated,not_stated,0
Vanua Lava,area_council,Torba,2020,Total,total,3231
Vanua Lava,area_council,Torba,2020,Presbyterian,presbyterian,26
Vanua Lava,area_council,Torba,2020,Seventh Day Adventist (SDA),seventh_day_adventist,188
Vanua Lava,area_council,Torba,2020,Catholic,catholic,39
Vanua Lava,area_council,Torba,2020,Anglican,anglican,2668
Vanua Lava,area_council,Torba,2020,Churches of Christ,church_of_christ,12
Vanua Lava,area_council,Torba,2020,Assemblies of God (AOG),assemblies_of_god,140
Vanua Lava,area_council,Torba,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,90
Vanua Lava,area_council,Torba,2020,Customary beliefs,customary_beliefs,6
Vanua Lava,area_council,Torba,2020,Apostolic,apostolic,10
Vanua Lava,area_council,Torba,2020,Latter Day Saints (Mormon),latter_day_saints,1
Vanua Lava,area_council,Torba,2020,Other churches,other,52
Vanua Lava,area_council,Torba,2020,No Religion/Faith,no_religion,0
Vanua Lava,area_council,Torba,2020,Refuse to answer,refuse_to_answer,0
Vanua Lava,area_council,Torba,2020,Not Stated,not_stated,0
Mota,area_council,Torba,2020,Total,total,597
Mota,area_council,Torba,2020,Presbyterian,presbyterian,1
Mota,area_council,Torba,2020,Seventh Day Adventist (SDA),seventh_day_adventist,3
Mota,area_council,Torba,2020,Catholic,catholic,0
Mota,area_council,Torba,2020,Anglican,anglican,573
Mota,area_council,Torba,2020,Churches of Christ,church_of_christ,0
Mota,area_council,Torba,2020,Assemblies of God (AOG),assemblies_of_god,18
Mota,area_council,Torba,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,0
Mota,area_council,Torba,2020,Customary beliefs,customary_beliefs,0
Mota,area_council,Torba,2020,Apostolic,apostolic,1
Mota,area_council,Torba,2020,Latter Day Saints (Mormon),latter_day_saints,0
Mota,area_council,Torba,2020,Other churches,other,0
Mota,area_council,Torba,2020,No Religion/Faith,no_religion,0
Mota,area_council,Torba,2020,Refuse to answer,refuse_to_answer,0
Mota,area_council,Torba,2020,Not Stated,not_stated,0
Gaua,area_council,Torba,2020,Total,total,3400
Gaua,area_council,Torba,2020,Presbyterian,presbyterian,14
Gaua,area_council,Torba,2020,Seventh Day Adventist (SDA),seventh_day_adventist,238
Gaua,area_council,Torba,2020,Catholic,catholic,9
Gaua,area_council,Torba,2020,Anglican,anglican,2407
Gaua,area_council,Torba,2020,Churches of Christ,church_of_christ,121
Gaua,area_council,Torba,2020,Assemblies of God (AOG),assemblies_of_god,126
Gaua,area_council,Torba,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,225
Gaua,area_council,Torba,2020,Customary beliefs,customary_beliefs,0
Gaua,area_council,Torba,2020,Apostolic,apostolic,16
Gaua,area_council,Torba,2020,Latter Day Saints (Mormon),latter_day_saints,71
Gaua,area_council,Torba,2020,Other churches,other,174
Gaua,area_council,Torba,2020,No Religion/Faith,no_religion,0
Gaua,area_council,Torba,2020,Refuse to answer,refuse_to_answer,0
Gaua,area_council,Torba,2020,Not Stated,not_stated,0
