"country_code","boundary_set_id","boundary_level","area_unit_id","area_code","area_name","year","population_total","population_total_basis","religious_affiliation_count","religious_affiliation_percent","no_religion_count","no_religion_percent","place_count","places_per_10000_residents","place_density_per_sq_km","land_area_sq_km","site_snapshot_date","place_count_basis","source_dataset_ids","quality_flag"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:25","25","Daejeon",1995,1270873,"KOSIS DT_1IN9506 table total 계; 미상 (unknown) remains in the denominator. 1995 source row maps one-to-one to the current sido frame.",658533,51.82,612336,48.18,,,,539.46,,,"kosis-dt-1in9506-religion-admin-1995|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator;1995_current_sido_concordance;1995_sido_one_to_one"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:25","25","Daejeon",2005,1438551,"KOSIS DT_1IN0505 table total 내국인 (명); 미상 (unknown) remains in the denominator. 2005 source row maps one-to-one to the current sido frame.",774420,53.83,659314,45.83,,,,539.46,,,"kosis-dt-1in0505-religion-si-gun-gu-2005|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:25","25","Daejeon",2015,1499520,"KOSIS DT_1PM1502 table total 계; 2015 religion was collected in the 20% sample survey of the register-based census. 2015 source row maps one-to-one to the current sido frame.",657379,43.84,842141,56.16,,,,539.46,,,"kosis-dt-1pm1502-religion-si-gun-gu-2015|southkorea-maps-kostat-municipalities-2018","sample_survey_20pct;register_based_census_sample_survey"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:26","26","Ulsan",1995,966628,"KOSIS DT_1IN9506 table total 계; 미상 (unknown) remains in the denominator. 1995 Ulsan uses the Ulsan-si row (울산시, source code 38020) inside the printed Gyeongsangnam-do table.",501107,51.84,465506,48.16,,,,1061.48,,,"kosis-dt-1in9506-religion-admin-1995|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator;1995_current_sido_concordance;1995_ulsan_split_from_gyeongsangnam_do"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:26","26","Ulsan",2005,1044934,"KOSIS DT_1IN0505 table total 내국인 (명); 미상 (unknown) remains in the denominator. 2005 source row maps one-to-one to the current sido frame.",592312,56.68,450170,43.08,,,,1061.48,,,"kosis-dt-1in0505-religion-si-gun-gu-2005|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:26","26","Ulsan",2015,1120525,"KOSIS DT_1PM1502 table total 계; 2015 religion was collected in the 20% sample survey of the register-based census. 2015 source row maps one-to-one to the current sido frame.",510345,45.55,610180,54.45,,,,1061.48,,,"kosis-dt-1pm1502-religion-si-gun-gu-2015|southkorea-maps-kostat-municipalities-2018","sample_survey_20pct;register_based_census_sample_survey"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:29","29","Sejong",1995,,"KOSIS DT_1IN9506 table total 계; 미상 (unknown) remains in the denominator. Sejong did not exist in 1995; no 1995 source row can be assigned to the current Sejong sido.",,,,,,,,464.84,,,"kosis-dt-1in9506-religion-admin-1995|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator;1995_current_sido_concordance;1995_sejong_not_yet_created;value_null_by_concordance"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:29","29","Sejong",2005,80389,"KOSIS DT_1IN0505 table total 내국인 (명); 미상 (unknown) remains in the denominator. 2005 Sejong uses the Yeongi-gun predecessor row (source code 34320), matching the existing si/gun/gu convention.",40896,50.87,38875,48.36,,,,464.84,,,"kosis-dt-1in0505-religion-si-gun-gu-2005|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator;sejong_2012_boundary_not_comparable_uses_yeongi_predecessor_only"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:29","29","Sejong",2015,197651,"KOSIS DT_1PM1502 table total 계; 2015 religion was collected in the 20% sample survey of the register-based census. 2015 source row maps one-to-one to the current sido frame.",83373,42.18,114278,57.82,,,,464.84,,,"kosis-dt-1pm1502-religion-si-gun-gu-2015|southkorea-maps-kostat-municipalities-2018","sample_survey_20pct;register_based_census_sample_survey"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:31","31","Gyeonggi-do",1995,7637942,"KOSIS DT_1IN9506 table total 계; 미상 (unknown) remains in the denominator. 1995 source row maps one-to-one to the current sido frame.",3903966,51.11,3733903,48.89,,,,10252.49,,,"kosis-dt-1in9506-religion-admin-1995|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator;1995_current_sido_concordance;1995_sido_one_to_one"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:31","31","Gyeonggi-do",2005,10341006,"KOSIS DT_1IN0505 table total 내국인 (명); 미상 (unknown) remains in the denominator. 2005 source row maps one-to-one to the current sido frame.",5368081,51.91,4908658,47.47,,,,10252.49,,,"kosis-dt-1in0505-religion-si-gun-gu-2005|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:31","31","Gyeonggi-do",2015,11869038,"KOSIS DT_1PM1502 table total 계; 2015 religion was collected in the 20% sample survey of the register-based census. 2015 source row maps one-to-one to the current sido frame.",5140688,43.31,6728350,56.69,,,,10252.49,,,"kosis-dt-1pm1502-religion-si-gun-gu-2015|southkorea-maps-kostat-municipalities-2018","sample_survey_20pct;register_based_census_sample_survey"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:32","32","Gangwon-do",1995,1465279,"KOSIS DT_1IN9506 table total 계; 미상 (unknown) remains in the denominator. 1995 source row maps one-to-one to the current sido frame.",670351,45.75,794493,54.22,,,,16806.73,,,"kosis-dt-1in9506-religion-admin-1995|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator;1995_current_sido_concordance;1995_sido_one_to_one"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:32","32","Gangwon-do",2005,1460770,"KOSIS DT_1IN0505 table total 내국인 (명); 미상 (unknown) remains in the denominator. 2005 source row maps one-to-one to the current sido frame.",708040,48.47,747578,51.18,,,,16806.73,,,"kosis-dt-1in0505-religion-si-gun-gu-2005|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:32","32","Gangwon-do",2015,1475324,"KOSIS DT_1PM1502 table total 계; 2015 religion was collected in the 20% sample survey of the register-based census. 2015 source row maps one-to-one to the current sido frame.",609373,41.3,865951,58.7,,,,16806.73,,,"kosis-dt-1pm1502-religion-si-gun-gu-2015|southkorea-maps-kostat-municipalities-2018","sample_survey_20pct;register_based_census_sample_survey"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:33","33","Chungcheongbuk-do",1995,1395460,"KOSIS DT_1IN9506 table total 계; 미상 (unknown) remains in the denominator. 1995 source row maps one-to-one to the current sido frame.",640018,45.86,755423,54.13,,,,7408.32,,,"kosis-dt-1in9506-religion-admin-1995|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator;1995_current_sido_concordance;1995_sido_one_to_one"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:33","33","Chungcheongbuk-do",2005,1453872,"KOSIS DT_1IN0505 table total 내국인 (명); 미상 (unknown) remains in the denominator. 2005 source row maps one-to-one to the current sido frame.",716889,49.31,733465,50.45,,,,7408.32,,,"kosis-dt-1in0505-religion-si-gun-gu-2005|southkorea-maps-kostat-municipalities-2018","full_count_census;unknown_category_in_denominator"
"KR","kr-sido-2018-kostat-harmonised","sido","kr-sido-2018-kostat-harmonised:33","33","Chungcheongbuk-do",2015,1528981,"KOSIS DT_1PM1502 table total 계; 2015 religion was collected in the 20% sample survey of the register-based census. 2015 source row maps one-to-one to the current sido frame.",611888,40.02,917093,59.98,,,,7408.32,,,"kosis-dt-1pm1502-religion-si-gun-gu-2015|southkorea-maps-kostat-municipalities-2018","sample_survey_20pct;register_based_census_sample_survey"
