Census Year,Subject population,Religious affiliation,Religious affiliation Code,Territorial authority,Territorial authority Code,Unit,Value,Value Unit,Value Label,Null Reason
2013,Census usually resident population,"Māori religions, beliefs and philosophies (not further defined)","Māori Religions, Beliefs and Philosophies nfd",Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Rātana,Ratana,Westland,Westland District,Count,21,number,Number of people,
2013,Census usually resident population,Rātana,Ratana,Westland,Westland District,Percentage of total stated,0.2528901734104,percentage,% of people,
2013,Census usually resident population,Ringatū,Ringatū,Westland,Westland District,Count,12,number,Number of people,
2013,Census usually resident population,Ringatū,Ringatū,Westland,Westland District,Percentage of total stated,0.1445086705202,percentage,% of people,
2013,Census usually resident population,Paimarire,Paimarire,Westland,Westland District,Count,3,number,Number of people,
2013,Census usually resident population,Paimarire,Paimarire,Westland,Westland District,Percentage of total stated,0.03612716763006,percentage,% of people,
2013,Census usually resident population,"Māori religions, beliefs and philosophies (not elsewhere classified)","Māori Religions, Beliefs and Philosophies nec",Westland,Westland District,Count,0,number,Number of people,
2013,Census usually resident population,"Māori religions, beliefs and philosophies (not elsewhere classified)","Māori Religions, Beliefs and Philosophies nec",Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,New Age (not further defined),New Age nfd,Westland,Westland District,Count,3,number,Number of people,
2013,Census usually resident population,New Age (not further defined),New Age nfd,Westland,Westland District,Percentage of total stated,0.03612716763006,percentage,% of people,
2013,Census usually resident population,Church of Scientology,Church of Scientology,Westland,Westland District,Count,0,number,Number of people,
2013,Census usually resident population,Church of Scientology,Church of Scientology,Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Nature and Earth-based religions (not further defined),Nature and Earth Based Religions nfd,Westland,Westland District,Count,0,number,Number of people,
2013,Census usually resident population,Nature and Earth-based religions (not further defined),Nature and Earth Based Religions nfd,Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Animist,Animist,Westland,Westland District,Count,0,number,Number of people,
2013,Census usually resident population,Animist,Animist,Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Druid,Druid,Westland,Westland District,Count,0,number,Number of people,
2013,Census usually resident population,Druid,Druid,Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Pantheist,Pantheist,Westland,Westland District,Count,0,number,Number of people,
2013,Census usually resident population,Pantheist,Pantheist,Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Wiccan,Wiccan,Westland,Westland District,Count,6,number,Number of people,
2013,Census usually resident population,Wiccan,Wiccan,Westland,Westland District,Percentage of total stated,0.07225433526012,percentage,% of people,
2013,Census usually resident population,Nature and Earth-based religions (not elsewhere classified),Nature and Earth Based Religions nec,Westland,Westland District,Count,9,number,Number of people,
2013,Census usually resident population,Nature and Earth-based religions (not elsewhere classified),Nature and Earth Based Religions nec,Westland,Westland District,Percentage of total stated,0.1083815028902,percentage,% of people,
2013,Census usually resident population,Satanism,Satanism,Westland,Westland District,Count,0,number,Number of people,
2013,Census usually resident population,Satanism,Satanism,Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Spiritualist,Spiritualist,Westland,Westland District,Count,6,number,Number of people,
2013,Census usually resident population,Spiritualist,Spiritualist,Westland,Westland District,Percentage of total stated,0.07225433526012,percentage,% of people,
2013,Census usually resident population,Rastafarianism,Rastafarianism,Westland,Westland District,Count,0,number,Number of people,
2013,Census usually resident population,Rastafarianism,Rastafarianism,Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Other New Age Religions (not elsewhere classified),Other New Age Religions nec,Westland,Westland District,Count,9,number,Number of people,
2013,Census usually resident population,Other New Age Religions (not elsewhere classified),Other New Age Religions nec,Westland,Westland District,Percentage of total stated,0.1083815028902,percentage,% of people,
2013,Census usually resident population,Total people stated,Total Stated,Westland,Westland District,Count,7605,number,Number of people,
2013,Census usually resident population,Total people stated,Total Stated,Westland,Westland District,Percentage of total stated,91.5823699422,percentage,% of people,
2013,Census usually resident population,Object to answering,Object to answering,Westland,Westland District,Count,369,number,Number of people,
2013,Census usually resident population,Object to answering,Object to answering,Westland,Westland District,Percentage of total stated,4.443641618497,percentage,% of people,
2013,Census usually resident population,"Other Religions, Beliefs and Philosophies (not further defined)","Other Religions, Beliefs and Philosophies nfd",Westland,Westland District,Count,3,number,Number of people,
2013,Census usually resident population,"Other Religions, Beliefs and Philosophies (not further defined)","Other Religions, Beliefs and Philosophies nfd",Westland,Westland District,Percentage of total stated,0.03612716763006,percentage,% of people,
2013,Census usually resident population,Baha'i,Baha'i,Westland,Westland District,Count,3,number,Number of people,
2013,Census usually resident population,Baha'i,Baha'i,Westland,Westland District,Percentage of total stated,0.03612716763006,percentage,% of people,
2013,Census usually resident population,Chinese Religions (not further defined),Chinese Religions nfd,Westland,Westland District,Count,0,number,Number of people,
2013,Census usually resident population,Chinese Religions (not further defined),Chinese Religions nfd,Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Confucianism,Confucianism,Westland,Westland District,Count,0,number,Number of people,
2013,Census usually resident population,Confucianism,Confucianism,Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Taoism,Taoism,Westland,Westland District,Count,6,number,Number of people,
2013,Census usually resident population,Taoism,Taoism,Westland,Westland District,Percentage of total stated,0.07225433526012,percentage,% of people,
2013,Census usually resident population,Chinese Religions (not elsewhere classified),Chinese Religions nec,Westland,Westland District,Count,0,number,Number of people,
2013,Census usually resident population,Chinese Religions (not elsewhere classified),Chinese Religions nec,Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Jainism,Jainism,Westland,Westland District,Count,0,number,Number of people,
2013,Census usually resident population,Jainism,Jainism,Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Japanese Religion (not further defined),Japanese Religion nfd,Westland,Westland District,Count,0,number,Number of people,
2013,Census usually resident population,Japanese Religion (not further defined),Japanese Religion nfd,Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Mahikari,Mahikari,Westland,Westland District,Count,0,number,Number of people,
2013,Census usually resident population,Mahikari,Mahikari,Westland,Westland District,Percentage of total stated,0,percentage,% of people,
2013,Census usually resident population,Shinto,Shinto,Westland,Westland District,Count,0,number,Number of people,
