"gisjoin","year","boundary_year","area_name","source_area_name","state_name","state_code","county_name","county_code","population_total","population_reference_year","church_or_edifice_count","church_count_basis","church_seating_count","church_seating_per_100_population","churches_or_edifices_per_10000_residents","church_property_value","member_count","members_per_100_population","land_area_sq_km","quality_flag"
"G1301790",1870,1870,"Liberty, Georgia","Liberty","Georgia","130","Liberty","1790",7688,1870,21,"total religious edifices from NHGIS table NT44 (AK8001)",6800,88.4495,27.3153,27000,,,1778.86,"wave_coverage_differs"
"G4802910",1870,1870,"Liberty, Texas","Liberty","Texas","480","Liberty","2910",4414,1870,3,"total religious edifices from NHGIS table NT44 (AK8001)",900,20.3897,6.7966,2150,,,3318.03,"wave_coverage_differs"
"G3900890",1870,1870,"Licking, Ohio","Licking","Ohio","390","Licking","0890",35756,1870,123,"total religious edifices from NHGIS table NT44 (AK8001)",37400,104.5978,34.3998,277300,,,1780.59,"wave_coverage_differs"
"G0100830",1870,1870,"Limestone, Alabama","Limestone","Alabama","010","Limestone","0830",15017,1870,19,"total religious edifices from NHGIS table NT44 (AK8001)",11500,76.5799,12.6523,11500,,,1572.62,"wave_coverage_differs"
"G4802930",1870,1870,"Limestone, Texas","Limestone","Texas","480","Limestone","2930",8591,1870,5,"total religious edifices from NHGIS table NT44 (AK8001)",1000,11.6401,5.82,3000,,,2416.9,"wave_coverage_differs"
"G0950975",1870,1870,"Lincoln, Dakota Territory","Lincoln","Dakota Territory","095","Lincoln","0975",712,1870,,"total religious edifices from NHGIS table NT44 (AK8001)",,,,,,,2385.3,"wave_coverage_differs"
"G1301810",1870,1870,"Lincoln, Georgia","Lincoln","Georgia","130","Lincoln","1810",5413,1870,15,"total religious edifices from NHGIS table NT44 (AK8001)",5400,99.7598,27.7111,9200,,,674.61,"wave_coverage_differs"
"G2001050",1870,1870,"Lincoln, Kansas","Lincoln","Kansas","200","Lincoln","1050",516,1870,0,"total religious edifices from NHGIS table NT44 (AK8001)",0,0,0,0,,,1865.98,"wave_coverage_differs"
"G2101370",1870,1870,"Lincoln, Kentucky","Lincoln","Kentucky","210","Lincoln","1370",10947,1870,30,"total religious edifices from NHGIS table NT44 (AK8001)",6130,55.9971,27.4048,50000,,,871.18,"wave_coverage_differs"
"G2300150",1870,1870,"Lincoln, Maine","Lincoln","Maine","230","Lincoln","0150",25597,1870,50,"total religious edifices from NHGIS table NT44 (AK8001)",17830,69.6566,19.5335,153650,,,1232.47,"wave_coverage_differs"
"G2800850",1870,1870,"Lincoln, Mississippi","Lincoln","Mississippi","280","Lincoln","0850",10184,1870,,"total religious edifices from NHGIS table NT44 (AK8001)",,,,,,,1520.8,"wave_coverage_differs"
"G2901130",1870,1870,"Lincoln, Missouri","Lincoln","Missouri","290","Lincoln","1130",15960,1870,7,"total religious edifices from NHGIS table NT44 (AK8001)",1400,8.7719,4.386,6300,,,1658.79,"wave_coverage_differs"
"G3101110",1870,1870,"Lincoln, Nebraska","Lincoln","Nebraska","310","Lincoln","1110",17,1870,1,"total religious edifices from NHGIS table NT44 (AK8001)",300,1764.7059,588.2353,2000,,,1839.48,"wave_coverage_differs"
"G3200170",1870,1870,"Lincoln, Nevada","Lincoln","Nevada","320","Lincoln","0170",2985,1870,0,"total religious edifices from NHGIS table NT44 (AK8001)",0,0,0,0,,,13228.35,"wave_coverage_differs"
