"area_code","area_name","land_area_sq_km","year","category","count"
"134500","Anzac Avenue",0.1023855,2013,"No Religion",1059
"134600","Waima-Woodlands Park",3.48423582,2013,"No Religion",1485
"134700","Kaurilands",1.46338291,2013,"No Religion",1575
"134800","Auckland-University",0.36941266,2013,"No Religion",45
"134900","New Lynn Seabrook",0.72239779,2013,"No Religion",900
"135000","Avondale South (Auckland)",1.17621937,2013,"No Religion",984
"135100","Symonds Street North West",0.08705742,2013,"No Religion",1143
"135200","Mount Albert South",0.83111653,2013,"No Religion",888
"135300","Symonds Street West",0.14550655,2013,"No Religion",879
"135401","Titirangi East",1.22431833,2013,"No Religion",1362
"135500","Ōwairaka West",0.91844166,2013,"No Religion",894
"135600","New Lynn Central South",0.74033914,2013,"No Religion",849
"135700","The Strand",0.17003772,2013,"No Religion",630
"135800","St Lukes",0.4616366,2013,"No Religion",873
"135900","Symonds Street East",0.10342937,2013,"No Religion",975
"136001","Eden Terrace",0.59084637,2013,"No Religion",1314
"136002","Grafton West",0.25221345,2013,"No Religion",438
"136100","Grafton",0.6226916,2013,"No Religion",735
"136200","Eden Park",0.50617663,2013,"No Religion",831
"136300","Sandringham North",0.85700371,2013,"No Religion",1587
"136400","Parnell West",1.6492471,2013,"No Religion",1545
"136501","New Lynn South",0.64410404,2013,"No Religion",891
"136502","New Lynn South East",0.79225148,2013,"No Religion",573
"136601","New Windsor North",0.87009815,2013,"No Religion",1014
"136700","Titirangi South",4.73741993,2013,"No Religion",1971
"136801","Ōwairaka East",0.47504654,2013,"No Religion",678
"136900","Eden Valley",0.58402622,2013,"No Religion",963
"137000","Sandringham Central",0.4728525,2013,"No Religion",771
"137100","Glenavon",0.6404958,2013,"No Religion",612
"137201","Blockhouse Bay North",0.59396955,2013,"No Religion",567
"137202","Blockhouse Bay Central",0.96339681,2013,"No Religion",849
"137300","Green Bay North",1.03540671,2013,"No Religion",687
"137400","Parnell East",1.22679359,2013,"No Religion",1284
"137500","Laingholm",4.07829951,2013,"No Religion",1323
"137600","Sandringham West",0.4767622,2013,"No Religion",882
"137701","Mount Eden North East",0.40925947,2013,"No Religion",450
"137800","Mount Eden North",0.87489816,2013,"No Religion",1383
"137901","Wesley West",0.68422277,2013,"No Religion",444
"138000","Green Bay South",1.2578664,2013,"No Religion",1116
"138100","Balmoral",0.78483756,2013,"No Religion",1422
"138200","Sandringham East",0.71514844,2013,"No Religion",1185
"138301","New Windsor South",0.53965215,2013,"No Religion",486
"138302","New Windsor East",0.57554696,2013,"No Religion",537
"138400","Mount Eden West",0.79137389,2013,"No Religion",1527
"138501","Newmarket",0.85112733,2013,"No Religion",1068
"138502","Newmarket Park",0.27780751,2013,"No Religion",474
"138600","Blockhouse Bay North East",0.52846547,2013,"No Religion",600
"138700","Epsom North",1.0772428,2013,"No Religion",1344
"138800","Wesley South",0.68279868,2013,"No Religion",6
"138901","Blockhouse Bay South",1.26473048,2013,"No Religion",987
"139000","Mount Eden East",0.76410516,2013,"No Religion",1251
"139100","Wesley East",0.6070395,2013,"No Religion",408
"139201","Orakei West",1.3945544,2013,"No Religion",882
"139300","Maungawhau",0.73452194,2013,"No Religion",1437
"139400","Remuera West",0.88055753,2013,"No Religion",954
"139501","Blockhouse Bay East",0.56142487,2013,"No Religion",615
"139601","Mount Roskill West",0.94066279,2013,"No Religion",684
"139700","Mount Roskill North",0.95815632,2013,"No Religion",1413
"139801","Mount Roskill White Swan",0.55917428,2013,"No Religion",474
"139802","Mount Roskill Nirvana",0.48344797,2013,"No Religion",381
"139900","Mount Eden South",0.87283198,2013,"No Religion",1701
"140000","Remuera Waitaramoa",1.69064692,2013,"No Religion",1458
"140100","Orakei East",1.70738496,2013,"No Religion",891
"140200","Epsom Central-North",1.10588807,2013,"No Religion",1533
"140300","Mount St John",1.24253076,2013,"No Religion",1320
"140400","Mount Roskill Central North",0.90101871,2013,"No Religion",831
"140500","Remuera North",1.41270493,2013,"No Religion",1185
"140601","Mount Roskill North East",0.6470971,2013,"No Religion",564
"140700","Mount Roskill Central South",1.20198841,2013,"No Religion",414
"140800","Epsom Central-South",0.98346489,2013,"No Religion",1482
"140901","Lynfield Central",0.72386009,2013,"No Religion",666
"140902","Lynfield Harbour View",0.85172303,2013,"No Religion",438
"141000","Remuera South",1.42943399,2013,"No Religion",1362
"141101","Mission Bay",0.92322069,2013,"No Religion",936
"141102","Mission Bay Eastridge",0.61996343,2013,"No Religion",552
"141201","Three Kings North",0.67427961,2013,"No Religion",537
"141300","Mount Roskill South",1.12965999,2013,"No Religion",831
"141500","Epsom East",1.26821011,2013,"No Religion",723
"141600","Remuera Waiata",0.94346341,2013,"No Religion",912
"141700","Epsom South",0.59627524,2013,"No Religion",840
"141801","Kohimarama Bay",0.74133154,2013,"No Religion",840
"141802","Kohimarama Stadium",0.77416553,2013,"No Religion",657
"141900","Meadowbank West",1.02450081,2013,"No Religion",870
"142001","Three Kings South",0.71318264,2013,"No Religion",600
"142002","Hillsborough North (Auckland)",0.72368872,2013,"No Religion",381
"142101","Mount Roskill Central East",0.84158758,2013,"No Religion",786
"142201","Greenlane North",0.52627661,2013,"No Religion",825
"142202","Greenlane Central",0.61703225,2013,"No Religion",834
"142301","Mount Roskill South East",0.69804102,2013,"No Religion",612
"142400","Remuera East",0.88582022,2013,"No Religion",843
"142501","Waikowhai Bay",1.35691938,2013,"No Religion",480
"142600","Royal Oak West (Auckland)",0.81136015,2013,"No Religion",804
"142700","Saint Heliers West",1.1857409,2013,"No Religion",1119
"142801","One Tree Hill Oranga",0.52824459,2013,"No Religion",753
"142802","One Tree Hill Amaru",2.22084372,2013,"No Religion",843
"142901","Hillsborough Central (Auckland)",0.63088644,2013,"No Religion",525
"143000","Saint Heliers North",1.33825374,2013,"No Religion",1335
"143100","Remuera Abbotts Park",1.02201005,2013,"No Religion",1392
"143200","Meadowbank East",0.65318841,2013,"No Religion",870
"143301","Ellerslie Central",1.54769132,2013,"No Religion",1191
"143400","Royal Oak East (Auckland)",0.64096776,2013,"No Religion",756
"143500","Saint Heliers South",1.22213446,2013,"No Religion",1329
"143600","Hillsborough South (Auckland)",1.15992373,2013,"No Religion",801
